model,run,loss_score,MAE,MSE,optimizer,loss,learning_rate,regularization,dropout,epochs,batch_size,model_type
magpie -> agl_log10_thermal_expansion_300K,train,0.010449765752602997,0.10413706302642822,0.019159330055117607,Adam,huber_loss,0.01,l2,0.4,200,32,light_alex_net
magpie -> agl_log10_thermal_expansion_300K,val,0.009322873264965083,0.09381990134716034,0.016284773126244545,Adam,huber_loss,0.01,l2,0.4,200,32,light_alex_net
magpie -> agl_log10_thermal_expansion_300K,test,0.008286958425155571,0.09072066843509674,0.014839251525700092,Adam,huber_loss,0.01,l2,0.4,200,32,light_alex_net
oliynyk -> ael_bulk_modulus_vrh,train,53.20683204972336,53.032466888427734,4844.9794921875,Adam,huber_loss,0.01,l2,0.4,200,64,light_alex_net
oliynyk -> ael_bulk_modulus_vrh,val,53.74091932508681,53.65826416015625,4553.13916015625,Adam,huber_loss,0.01,l2,0.4,200,64,light_alex_net
oliynyk -> ael_bulk_modulus_vrh,test,55.01839566230774,53.936614990234375,4942.48828125,Adam,huber_loss,0.01,l2,0.4,200,64,light_alex_net
atom2vec -> ael_shear_modulus_vrh,train,5.659665767407193,5.470668792724609,137.65199279785156,Adam,huber_loss,0.01,l2,0.4,200,64,light_alex_net
atom2vec -> ael_shear_modulus_vrh,val,15.018250995212131,14.826716423034668,504.7762451171875,Adam,huber_loss,0.01,l2,0.4,200,64,light_alex_net
atom2vec -> ael_shear_modulus_vrh,test,16.004449784755707,15.807406425476074,585.4992065429688,Adam,huber_loss,0.01,l2,0.4,200,64,light_alex_net
random_400 -> energy_atom,train,0.9556606426503783,1.3833876848220825,2.9447743892669678,Adam,huber_loss,0.01,l2,0.4,200,64,alex_net
random_400 -> energy_atom,val,0.9687834203243255,1.3936268091201782,3.019853115081787,Adam,huber_loss,0.01,l2,0.4,200,64,alex_net
random_400 -> energy_atom,test,0.9773231840681755,1.4050263166427612,3.519890308380127,Adam,huber_loss,0.01,l2,0.4,200,64,alex_net
jarvis -> agl_thermal_conductivity_300K,train,235.67562999702167,4.156116485595703,87.64320373535156,Adam,huber_loss,0.01,l2,0.4,200,64,alex_net
jarvis -> agl_thermal_conductivity_300K,val,235.01134067111545,3.9593801498413086,64.00281524658203,Adam,huber_loss,0.01,l2,0.4,200,64,alex_net
jarvis -> agl_thermal_conductivity_300K,test,235.34836387634277,4.373663902282715,83.3367691040039,Adam,huber_loss,0.01,l2,0.4,200,64,alex_net
random_400 -> agl_thermal_conductivity_300K,train,4.267195883527271,4.7339630126953125,117.85607147216797,Adam,huber_loss,0.01,l2,0.4,200,64,alex_net
random_400 -> agl_thermal_conductivity_300K,val,4.207539823320177,4.613687515258789,115.6263656616211,Adam,huber_loss,0.01,l2,0.4,200,64,alex_net
random_400 -> agl_thermal_conductivity_300K,test,4.5440545827150345,4.997908592224121,119.43269348144531,Adam,huber_loss,0.01,l2,0.4,200,64,alex_net
